"treatment","feel1","feel2","feel3","feel4"
"Recycling Script by Gay Canvasser",26,28,35,33
"No Contact",49,44,48,49
"Same-Sex Marriage Script by Straight Canvasser",55,52,55,59
"No Contact",52,51,42,52
"No Contact",82,79,78,82
"Same-Sex Marriage Script by Gay Canvasser",2,0,0,1
"Same-Sex Marriage Script by Straight Canvasser",62,72,59,47
"Recycling Script by Gay Canvasser",100,96,100,100
"No Contact",33,37,26,32
"Same-Sex Marriage Script by Gay Canvasser",40,40,27,34
"No Contact",63,69,61,69
"Same-Sex Marriage Script by Gay Canvasser",52,51,50,55
"Recycling Script by Gay Canvasser",64,76,66,70
"Recycling Script by Straight Canvasser",83,80,78,88
"No Contact",69,73,67,75
"No Contact",38,32,37,43
"No Contact",68,67,60,64
"No Contact",76,71,71,80
"Same-Sex Marriage Script by Gay Canvasser",54,54,45,58
"Recycling Script by Straight Canvasser",73,68,79,74
"Recycling Script by Straight Canvasser",41,38,45,40
"Same-Sex Marriage Script by Straight Canvasser",100,90,100,100
"Same-Sex Marriage Script by Straight Canvasser",46,49,NA,49
"Recycling Script by Straight Canvasser",32,33,36,36
"Same-Sex Marriage Script by Straight Canvasser",56,63,NA,38
"Recycling Script by Straight Canvasser",20,23,22,15
"Recycling Script by Straight Canvasser",100,99,95,92
"Recycling Script by Gay Canvasser",59,59,68,58
"Same-Sex Marriage Script by Gay Canvasser",61,59,67,58
"Recycling Script by Gay Canvasser",95,96,100,95
"Same-Sex Marriage Script by Straight Canvasser",100,100,94,95
"Recycling Script by Gay Canvasser",59,60,62,69
"Same-Sex Marriage Script by Straight Canvasser",100,100,97,100
"Same-Sex Marriage Script by Straight Canvasser",26,28,16,22
"Recycling Script by Gay Canvasser",100,100,98,100
"Recycling Script by Straight Canvasser",84,94,80,84
"Recycling Script by Straight Canvasser",74,82,NA,74
"Same-Sex Marriage Script by Gay Canvasser",75,70,61,69
"Recycling Script by Gay Canvasser",82,81,71,97
"Same-Sex Marriage Script by Gay Canvasser",0,0,2,5
"Same-Sex Marriage Script by Straight Canvasser",72,72,69,70
"Recycling Script by Straight Canvasser",43,46,39,34
"Same-Sex Marriage Script by Straight Canvasser",62,67,62,57
"No Contact",46,41,50,42
"Same-Sex Marriage Script by Gay Canvasser",54,55,55,53
"Same-Sex Marriage Script by Straight Canvasser",75,83,76,70
"Same-Sex Marriage Script by Straight Canvasser",30,30,31,18
"No Contact",86,91,79,100
"Recycling Script by Gay Canvasser",77,86,78,84
"No Contact",76,77,72,70
"Same-Sex Marriage Script by Straight Canvasser",94,90,86,100
"Same-Sex Marriage Script by Straight Canvasser",43,41,44,31
"Recycling Script by Straight Canvasser",64,61,57,72
"No Contact",23,21,19,24
"Same-Sex Marriage Script by Gay Canvasser",38,46,48,NA
"Same-Sex Marriage Script by Straight Canvasser",98,100,NA,98
"No Contact",33,26,31,35
"No Contact",46,45,39,45
"Recycling Script by Gay Canvasser",90,89,99,89
"Recycling Script by Straight Canvasser",89,86,94,98
"No Contact",96,100,100,97
"Same-Sex Marriage Script by Gay Canvasser",68,77,69,66
"Recycling Script by Gay Canvasser",72,73,61,74
"No Contact",74,81,69,65
"No Contact",100,100,91,98
"Same-Sex Marriage Script by Gay Canvasser",100,100,96,100
"Same-Sex Marriage Script by Straight Canvasser",0,4,3,NA
"Same-Sex Marriage Script by Straight Canvasser",47,51,40,56
"Same-Sex Marriage Script by Straight Canvasser",79,81,90,79
"No Contact",100,97,100,92
"Recycling Script by Gay Canvasser",44,51,48,42
"Recycling Script by Straight Canvasser",87,88,92,88
"Same-Sex Marriage Script by Straight Canvasser",41,39,45,47
"Recycling Script by Straight Canvasser",42,40,41,51
"No Contact",6,4,3,3
"Recycling Script by Straight Canvasser",50,48,55,49
"Recycling Script by Gay Canvasser",14,22,22,15
"Same-Sex Marriage Script by Straight Canvasser",32,35,40,45
"No Contact",36,33,23,41
"Same-Sex Marriage Script by Gay Canvasser",0,12,7,7
"Recycling Script by Straight Canvasser",14,9,17,0
"Recycling Script by Straight Canvasser",64,64,63,66
"Same-Sex Marriage Script by Straight Canvasser",69,79,67,64
"Recycling Script by Gay Canvasser",16,18,13,9
"No Contact",79,76,72,88
"Recycling Script by Straight Canvasser",45,50,54,53
"Recycling Script by Straight Canvasser",53,55,53,34
"No Contact",55,57,53,55
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,84
"Recycling Script by Straight Canvasser",42,48,41,43
"Same-Sex Marriage Script by Gay Canvasser",54,60,60,59
"Same-Sex Marriage Script by Straight Canvasser",72,68,72,70
"Same-Sex Marriage Script by Straight Canvasser",92,85,85,100
"Recycling Script by Straight Canvasser",83,82,95,80
"Same-Sex Marriage Script by Straight Canvasser",55,58,52,43
"Same-Sex Marriage Script by Straight Canvasser",18,20,NA,26
"Recycling Script by Gay Canvasser",64,61,65,66
"No Contact",10,6,14,0
"Same-Sex Marriage Script by Gay Canvasser",43,32,32,53
"Recycling Script by Straight Canvasser",32,29,26,14
"Recycling Script by Gay Canvasser",55,47,62,46
"Recycling Script by Straight Canvasser",65,57,65,79
"No Contact",67,66,76,69
"Same-Sex Marriage Script by Straight Canvasser",88,92,91,97
"Recycling Script by Gay Canvasser",100,100,100,100
"Same-Sex Marriage Script by Straight Canvasser",44,41,47,40
"No Contact",100,100,93,94
"Same-Sex Marriage Script by Gay Canvasser",54,60,56,56
"Same-Sex Marriage Script by Straight Canvasser",64,70,68,79
"Recycling Script by Straight Canvasser",49,47,52,62
"Same-Sex Marriage Script by Straight Canvasser",77,71,72,83
"Same-Sex Marriage Script by Straight Canvasser",91,88,93,89
"No Contact",58,56,57,67
"No Contact",10,17,9,13
"Recycling Script by Straight Canvasser",56,52,69,54
"Recycling Script by Gay Canvasser",10,13,8,6
"Same-Sex Marriage Script by Gay Canvasser",94,87,93,95
"Same-Sex Marriage Script by Straight Canvasser",64,59,59,66
"No Contact",48,45,43,47
"Recycling Script by Gay Canvasser",67,61,NA,73
"Recycling Script by Straight Canvasser",30,36,28,33
"Recycling Script by Straight Canvasser",26,22,30,25
"Same-Sex Marriage Script by Gay Canvasser",60,55,67,55
"Recycling Script by Gay Canvasser",84,84,79,85
"Same-Sex Marriage Script by Gay Canvasser",76,80,79,89
"Recycling Script by Straight Canvasser",74,66,NA,78
"Same-Sex Marriage Script by Straight Canvasser",37,36,40,44
"Recycling Script by Gay Canvasser",76,83,72,82
"Recycling Script by Gay Canvasser",74,66,80,80
"Same-Sex Marriage Script by Gay Canvasser",46,47,44,51
"Recycling Script by Gay Canvasser",74,74,68,64
"Same-Sex Marriage Script by Gay Canvasser",91,97,100,NA
"Same-Sex Marriage Script by Straight Canvasser",60,68,52,71
"Recycling Script by Straight Canvasser",30,34,32,35
"Recycling Script by Gay Canvasser",68,60,64,61
"Same-Sex Marriage Script by Gay Canvasser",100,100,98,89
"No Contact",73,80,73,NA
"Same-Sex Marriage Script by Gay Canvasser",25,25,21,NA
"No Contact",27,26,21,31
"No Contact",60,61,53,65
"Recycling Script by Straight Canvasser",62,58,67,72
"Same-Sex Marriage Script by Gay Canvasser",23,26,28,42
"Recycling Script by Straight Canvasser",47,49,50,44
"No Contact",79,74,83,86
"No Contact",63,66,70,75
"Recycling Script by Gay Canvasser",92,94,90,95
"Same-Sex Marriage Script by Gay Canvasser",50,47,39,38
"No Contact",76,74,84,70
"Same-Sex Marriage Script by Straight Canvasser",50,55,45,58
"Same-Sex Marriage Script by Gay Canvasser",12,21,18,0
"Same-Sex Marriage Script by Straight Canvasser",51,52,54,59
"No Contact",87,88,92,83
"No Contact",7,6,10,NA
"Recycling Script by Gay Canvasser",59,67,61,65
"Same-Sex Marriage Script by Straight Canvasser",28,30,33,36
"Recycling Script by Straight Canvasser",60,59,62,55
"Same-Sex Marriage Script by Straight Canvasser",80,81,87,83
"Recycling Script by Gay Canvasser",98,98,92,92
"No Contact",87,80,79,85
"Same-Sex Marriage Script by Straight Canvasser",0,0,5,5
"Same-Sex Marriage Script by Straight Canvasser",70,71,73,64
"No Contact",15,17,18,20
"Recycling Script by Gay Canvasser",38,35,29,37
"Recycling Script by Gay Canvasser",97,96,NA,100
"Same-Sex Marriage Script by Straight Canvasser",84,80,79,87
"Recycling Script by Gay Canvasser",75,74,81,71
"Same-Sex Marriage Script by Gay Canvasser",76,76,76,65
"No Contact",43,46,44,39
"Recycling Script by Straight Canvasser",60,57,53,53
"No Contact",42,42,40,NA
"Same-Sex Marriage Script by Gay Canvasser",21,25,22,28
"Same-Sex Marriage Script by Gay Canvasser",55,57,50,47
"Same-Sex Marriage Script by Straight Canvasser",66,59,68,62
"Recycling Script by Straight Canvasser",28,31,18,18
"Same-Sex Marriage Script by Gay Canvasser",56,64,57,69
"Recycling Script by Straight Canvasser",100,96,100,98
"Recycling Script by Gay Canvasser",62,55,58,72
"Same-Sex Marriage Script by Gay Canvasser",52,42,NA,49
"Same-Sex Marriage Script by Straight Canvasser",50,41,52,59
"Recycling Script by Gay Canvasser",26,32,26,38
"Same-Sex Marriage Script by Gay Canvasser",67,68,58,89
"Recycling Script by Straight Canvasser",53,51,56,51
"Recycling Script by Gay Canvasser",84,88,81,82
"No Contact",70,71,70,77
"No Contact",54,57,45,55
"Recycling Script by Straight Canvasser",0,0,0,11
"No Contact",35,35,34,45
"No Contact",42,49,43,39
"Recycling Script by Straight Canvasser",26,33,34,20
"No Contact",90,97,94,80
"Same-Sex Marriage Script by Straight Canvasser",75,77,71,84
"Same-Sex Marriage Script by Gay Canvasser",23,21,12,24
"Recycling Script by Gay Canvasser",72,75,76,71
"Same-Sex Marriage Script by Gay Canvasser",26,29,23,30
"Same-Sex Marriage Script by Gay Canvasser",54,55,55,46
"Same-Sex Marriage Script by Straight Canvasser",57,60,69,60
"Recycling Script by Straight Canvasser",60,53,52,NA
"Same-Sex Marriage Script by Gay Canvasser",49,46,34,50
"Recycling Script by Gay Canvasser",0,7,2,0
"Recycling Script by Straight Canvasser",26,27,34,26
"Same-Sex Marriage Script by Straight Canvasser",53,52,56,53
"Recycling Script by Straight Canvasser",56,62,56,45
"Same-Sex Marriage Script by Straight Canvasser",55,55,55,56
"Recycling Script by Straight Canvasser",69,68,69,67
"Recycling Script by Straight Canvasser",38,41,43,45
"Recycling Script by Straight Canvasser",45,42,37,36
"Same-Sex Marriage Script by Gay Canvasser",42,37,48,44
"Same-Sex Marriage Script by Straight Canvasser",30,34,17,33
"No Contact",52,52,58,61
"Recycling Script by Gay Canvasser",50,42,58,54
"Recycling Script by Gay Canvasser",22,17,18,29
"No Contact",2,4,1,0
"Same-Sex Marriage Script by Straight Canvasser",79,88,70,68
"Recycling Script by Gay Canvasser",52,51,52,49
"Recycling Script by Gay Canvasser",76,77,76,NA
"No Contact",45,38,41,36
"Recycling Script by Gay Canvasser",83,78,80,77
"Same-Sex Marriage Script by Straight Canvasser",66,70,62,64
"Recycling Script by Straight Canvasser",25,23,33,26
"Recycling Script by Gay Canvasser",66,63,61,55
"Recycling Script by Straight Canvasser",70,71,67,72
"Recycling Script by Straight Canvasser",42,38,41,44
"No Contact",57,50,53,60
"Same-Sex Marriage Script by Gay Canvasser",43,47,58,56
"No Contact",69,64,71,70
"No Contact",87,88,86,91
"Recycling Script by Straight Canvasser",0,4,8,0
"No Contact",49,49,57,41
"Same-Sex Marriage Script by Gay Canvasser",92,93,98,95
"Same-Sex Marriage Script by Gay Canvasser",55,67,48,52
"Same-Sex Marriage Script by Gay Canvasser",54,53,42,51
"Recycling Script by Straight Canvasser",54,51,55,54
"Same-Sex Marriage Script by Straight Canvasser",81,76,89,79
"Same-Sex Marriage Script by Straight Canvasser",46,41,43,NA
"No Contact",38,39,37,48
"Recycling Script by Straight Canvasser",68,67,74,72
"Same-Sex Marriage Script by Gay Canvasser",18,16,12,19
"No Contact",34,33,30,30
"No Contact",91,88,83,80
"Recycling Script by Gay Canvasser",52,56,53,36
"Same-Sex Marriage Script by Gay Canvasser",42,41,46,41
"Recycling Script by Straight Canvasser",49,54,48,NA
"No Contact",85,92,90,82
"Recycling Script by Gay Canvasser",46,41,52,45
"Recycling Script by Gay Canvasser",80,75,82,87
"Recycling Script by Gay Canvasser",44,42,45,NA
"Same-Sex Marriage Script by Gay Canvasser",0,0,0,0
"Recycling Script by Gay Canvasser",46,47,43,44
"Recycling Script by Straight Canvasser",89,96,82,84
"Same-Sex Marriage Script by Straight Canvasser",84,78,86,78
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,89
"Same-Sex Marriage Script by Straight Canvasser",35,38,30,34
"Same-Sex Marriage Script by Gay Canvasser",53,47,48,50
"Same-Sex Marriage Script by Gay Canvasser",32,39,35,28
"Same-Sex Marriage Script by Gay Canvasser",67,58,72,NA
"Same-Sex Marriage Script by Straight Canvasser",51,60,55,55
"Recycling Script by Gay Canvasser",63,56,53,59
"Same-Sex Marriage Script by Straight Canvasser",93,97,86,100
"Same-Sex Marriage Script by Gay Canvasser",44,46,46,40
"Same-Sex Marriage Script by Gay Canvasser",64,55,63,61
"Same-Sex Marriage Script by Straight Canvasser",25,24,27,16
"Same-Sex Marriage Script by Straight Canvasser",63,62,65,55
"Recycling Script by Gay Canvasser",34,36,31,43
"Same-Sex Marriage Script by Straight Canvasser",26,20,18,35
"Recycling Script by Straight Canvasser",16,10,26,14
"Same-Sex Marriage Script by Straight Canvasser",52,48,47,47
"Same-Sex Marriage Script by Gay Canvasser",83,85,78,80
"Recycling Script by Gay Canvasser",52,60,NA,57
"Recycling Script by Straight Canvasser",13,16,1,8
"Recycling Script by Gay Canvasser",53,51,50,48
"No Contact",51,47,43,33
"Same-Sex Marriage Script by Gay Canvasser",55,56,47,46
"Same-Sex Marriage Script by Straight Canvasser",97,100,87,100
"Same-Sex Marriage Script by Straight Canvasser",55,52,55,52
"Recycling Script by Gay Canvasser",9,0,13,0
"Recycling Script by Gay Canvasser",100,100,100,80
"Recycling Script by Gay Canvasser",100,100,95,100
"No Contact",57,61,54,49
"Recycling Script by Straight Canvasser",36,44,48,31
"Same-Sex Marriage Script by Gay Canvasser",35,45,37,32
"Recycling Script by Gay Canvasser",100,92,100,99
"No Contact",100,100,88,99
"Same-Sex Marriage Script by Straight Canvasser",100,89,100,100
"Same-Sex Marriage Script by Gay Canvasser",26,32,29,37
"Recycling Script by Straight Canvasser",56,59,52,48
"Same-Sex Marriage Script by Gay Canvasser",0,0,2,5
"No Contact",77,78,80,68
"Recycling Script by Straight Canvasser",78,80,76,88
"No Contact",44,40,57,51
"Recycling Script by Straight Canvasser",100,99,100,100
"No Contact",16,13,16,15
"Recycling Script by Straight Canvasser",76,66,63,86
"Same-Sex Marriage Script by Straight Canvasser",68,66,76,78
"No Contact",46,41,NA,36
"No Contact",88,86,93,89
"Same-Sex Marriage Script by Gay Canvasser",75,78,67,73
"Same-Sex Marriage Script by Straight Canvasser",53,58,50,54
"No Contact",66,69,77,82
"Recycling Script by Straight Canvasser",100,100,NA,97
"Same-Sex Marriage Script by Straight Canvasser",58,53,59,58
"Recycling Script by Gay Canvasser",60,67,70,49
"Same-Sex Marriage Script by Straight Canvasser",52,54,53,60
"Same-Sex Marriage Script by Gay Canvasser",16,12,13,11
"Same-Sex Marriage Script by Straight Canvasser",86,83,97,NA
"Same-Sex Marriage Script by Gay Canvasser",100,96,100,79
"No Contact",17,13,34,13
"Recycling Script by Gay Canvasser",7,7,19,1
"Same-Sex Marriage Script by Straight Canvasser",84,76,93,80
"Same-Sex Marriage Script by Gay Canvasser",0,0,0,0
"Same-Sex Marriage Script by Straight Canvasser",68,67,54,49
"No Contact",74,83,70,80
"No Contact",100,95,NA,100
"No Contact",100,100,100,100
"Same-Sex Marriage Script by Gay Canvasser",73,68,76,77
"Same-Sex Marriage Script by Gay Canvasser",40,37,44,35
"Same-Sex Marriage Script by Gay Canvasser",75,84,63,80
"Same-Sex Marriage Script by Straight Canvasser",23,16,32,13
"Same-Sex Marriage Script by Gay Canvasser",85,84,99,73
"Recycling Script by Straight Canvasser",63,61,68,69
"No Contact",70,64,69,60
"Same-Sex Marriage Script by Straight Canvasser",71,71,71,65
"No Contact",50,45,52,NA
"No Contact",100,100,100,100
"No Contact",55,54,61,54
"Same-Sex Marriage Script by Straight Canvasser",34,34,23,35
"Recycling Script by Gay Canvasser",48,45,40,41
"No Contact",64,61,66,48
"Recycling Script by Gay Canvasser",53,53,62,46
"Same-Sex Marriage Script by Gay Canvasser",39,27,42,45
"No Contact",8,9,NA,4
"Recycling Script by Gay Canvasser",99,95,100,92
"Recycling Script by Gay Canvasser",93,94,100,79
"Same-Sex Marriage Script by Straight Canvasser",48,42,37,38
"Recycling Script by Gay Canvasser",0,10,1,0
"Same-Sex Marriage Script by Gay Canvasser",20,19,23,15
"Recycling Script by Straight Canvasser",62,58,58,71
"No Contact",55,53,50,56
"Same-Sex Marriage Script by Straight Canvasser",52,46,48,55
"Recycling Script by Straight Canvasser",16,11,15,19
"Same-Sex Marriage Script by Gay Canvasser",55,58,54,53
"Same-Sex Marriage Script by Gay Canvasser",56,55,59,55
"Same-Sex Marriage Script by Gay Canvasser",39,40,38,NA
"Same-Sex Marriage Script by Straight Canvasser",22,17,16,11
"Recycling Script by Straight Canvasser",40,36,NA,NA
"Same-Sex Marriage Script by Straight Canvasser",100,95,96,100
"Same-Sex Marriage Script by Gay Canvasser",89,91,NA,87
"Same-Sex Marriage Script by Gay Canvasser",43,36,48,61
"No Contact",6,8,0,2
"Recycling Script by Gay Canvasser",78,78,81,84
"No Contact",96,90,90,100
"Recycling Script by Gay Canvasser",16,18,16,22
"No Contact",74,76,69,83
"No Contact",43,49,47,48
"No Contact",70,73,69,66
"Same-Sex Marriage Script by Straight Canvasser",41,41,31,51
"No Contact",6,7,10,0
"Recycling Script by Straight Canvasser",72,63,73,NA
"Recycling Script by Straight Canvasser",53,53,51,57
"Same-Sex Marriage Script by Straight Canvasser",80,83,84,83
"Same-Sex Marriage Script by Straight Canvasser",43,47,50,46
"Same-Sex Marriage Script by Straight Canvasser",68,57,61,73
"Same-Sex Marriage Script by Gay Canvasser",93,85,93,98
"Recycling Script by Straight Canvasser",98,100,100,100
"Recycling Script by Gay Canvasser",79,84,90,80
"Same-Sex Marriage Script by Gay Canvasser",82,87,92,82
"Recycling Script by Gay Canvasser",95,100,97,100
"Same-Sex Marriage Script by Gay Canvasser",81,72,85,NA
"Same-Sex Marriage Script by Straight Canvasser",30,34,24,23
"Same-Sex Marriage Script by Gay Canvasser",60,55,62,57
"Same-Sex Marriage Script by Gay Canvasser",91,95,81,91
"Same-Sex Marriage Script by Gay Canvasser",18,9,25,8
"Recycling Script by Gay Canvasser",80,81,91,78
"Same-Sex Marriage Script by Straight Canvasser",100,100,87,94
"Recycling Script by Gay Canvasser",88,87,93,NA
"No Contact",41,47,46,31
"Same-Sex Marriage Script by Straight Canvasser",63,64,63,60
"No Contact",48,46,51,47
"Same-Sex Marriage Script by Gay Canvasser",65,71,64,72
"Same-Sex Marriage Script by Gay Canvasser",43,47,40,40
"Same-Sex Marriage Script by Straight Canvasser",20,17,17,17
"Same-Sex Marriage Script by Straight Canvasser",100,99,100,100
"Same-Sex Marriage Script by Straight Canvasser",73,75,71,83
"Recycling Script by Straight Canvasser",13,17,14,13
"Same-Sex Marriage Script by Straight Canvasser",74,69,70,79
"Same-Sex Marriage Script by Gay Canvasser",44,53,39,34
"Same-Sex Marriage Script by Gay Canvasser",25,26,24,25
"Recycling Script by Straight Canvasser",36,37,23,46
"Same-Sex Marriage Script by Gay Canvasser",56,59,66,67
"Recycling Script by Gay Canvasser",40,49,43,43
"Same-Sex Marriage Script by Gay Canvasser",32,34,NA,22
"Recycling Script by Straight Canvasser",83,84,82,82
"Same-Sex Marriage Script by Straight Canvasser",47,35,NA,40
"Same-Sex Marriage Script by Straight Canvasser",40,42,NA,42
"Same-Sex Marriage Script by Gay Canvasser",60,59,67,69
"Same-Sex Marriage Script by Straight Canvasser",76,71,76,81
"Same-Sex Marriage Script by Gay Canvasser",72,80,62,65
"Recycling Script by Straight Canvasser",100,96,100,NA
"Same-Sex Marriage Script by Straight Canvasser",43,42,53,59
"Same-Sex Marriage Script by Gay Canvasser",45,43,49,48
"Recycling Script by Gay Canvasser",15,17,22,15
"Recycling Script by Gay Canvasser",61,59,NA,68
"No Contact",41,36,37,49
"Same-Sex Marriage Script by Straight Canvasser",49,48,NA,39
"No Contact",67,60,67,62
"Same-Sex Marriage Script by Gay Canvasser",42,38,43,42
"Same-Sex Marriage Script by Straight Canvasser",99,100,98,100
"No Contact",80,81,82,NA
"Recycling Script by Gay Canvasser",100,100,100,100
"Same-Sex Marriage Script by Gay Canvasser",6,13,7,4
"Same-Sex Marriage Script by Gay Canvasser",72,67,71,71
"Same-Sex Marriage Script by Gay Canvasser",64,67,62,67
"No Contact",41,39,39,40
"Same-Sex Marriage Script by Straight Canvasser",43,45,45,44
"No Contact",40,33,43,NA
"Same-Sex Marriage Script by Straight Canvasser",58,51,60,53
"Recycling Script by Gay Canvasser",38,41,42,47
"No Contact",58,51,52,65
"No Contact",34,38,31,29
"Same-Sex Marriage Script by Straight Canvasser",100,100,98,99
"Recycling Script by Straight Canvasser",47,53,40,54
"Recycling Script by Gay Canvasser",26,30,28,22
"Same-Sex Marriage Script by Gay Canvasser",95,92,91,91
"No Contact",44,38,35,45
"Same-Sex Marriage Script by Straight Canvasser",57,44,49,46
"Recycling Script by Straight Canvasser",45,44,40,NA
"Recycling Script by Gay Canvasser",27,31,19,28
"Recycling Script by Straight Canvasser",50,46,44,44
"Recycling Script by Straight Canvasser",90,91,82,86
"Recycling Script by Straight Canvasser",100,100,NA,93
"Same-Sex Marriage Script by Straight Canvasser",60,61,61,52
"No Contact",58,52,55,61
"Same-Sex Marriage Script by Gay Canvasser",47,40,53,59
"No Contact",9,5,11,18
"No Contact",72,73,70,69
