"year","country","leadername","died","politybefore","polityafter"
1997,"Country_44","Leader_122",0,-2,5.59235744014929
1909,"Country_19","Leader_187",0,-2,-1.56661243833734
1904,"Country_21","Leader_186",1,5,9.20070526422492
1943,"Country_49","Leader_86",0,-3,-6.71551993474357
2004,"Country_6","Leader_175",0,6,4.2284495938713
1897,"Country_5","Leader_32",0,-9,-6.0647282890895
1895,"Country_49","Leader_102",0,1,1.70011563561739
1893,"Country_24","Leader_104",0,-1,-3.81690877853251
1978,"Country_16","Leader_124",0,0,0.0577778238761124
1906,"Country_9","Leader_194",0,0,-3.23226195933595
1922,"Country_43","Leader_129",1,-4,-0.761890024267153
1889,"Country_37","Leader_146",0,-3,0.854325269581937
1909,"Country_14","Leader_71",0,-7,-10
1929,"Country_5","Leader_91",0,-7,-1.89291961309957
1999,"Country_43","Leader_71",0,0,-3.72313349042547
1891,"Country_56","Leader_36",0,1,2.1643078069479
1945,"Country_30","Leader_69",1,-1,1.47970791442782
1951,"Country_45","Leader_75",0,3,1.8003305156957
1887,"Country_52","Leader_127",1,9,5.56465812942062
1942,"Country_4","Leader_27",0,-4,-2.70403693627385
2001,"Country_4","Leader_42",0,-10,-6.68354389785664
1899,"Country_43","Leader_75",0,4,5.84990845984611
1903,"Country_32","Leader_156",0,-5,-10
1890,"Country_28","Leader_33",1,-5,-8.60913780417707
1883,"Country_21","Leader_123",0,4,7.49120702356455
1911,"Country_52","Leader_106",0,-3,0.73988654133464
1928,"Country_6","Leader_32",0,-8,-5.09413315327695
1898,"Country_42","Leader_87",0,-1,1.34553522133318
1888,"Country_20","Leader_85",0,-2,1.15152475292301
1983,"Country_59","Leader_44",1,-1,-8.48276839539704
1990,"Country_17","Leader_190",1,0,3.63083128991646
1985,"Country_11","Leader_165",1,-3,-3.55496278968698
1914,"Country_40","Leader_96",0,2,2.29185049189361
1993,"Country_21","Leader_40",1,-3,-2.98547340265073
1946,"Country_37","Leader_79",0,0,2.61589486223623
1888,"Country_32","Leader_199",0,4,2.15458265313317
1939,"Country_58","Leader_14",0,1,2.35551129766474
1900,"Country_19","Leader_106",1,-3,-3.27205493591694
1920,"Country_43","Leader_184",0,4,-0.0783616273045173
1897,"Country_1","Leader_48",0,3,6.03003153132079
1955,"Country_34","Leader_89",0,1,3.02270003382282
1913,"Country_12","Leader_3",1,0,5.47278671746936
1945,"Country_14","Leader_118",0,-5,-3.80453820226209
1919,"Country_3","Leader_23",0,5,7.37500823748452
1921,"Country_48","Leader_75",1,-5,2.22625716205723
1950,"Country_20","Leader_61",0,9,6.3555536548831
1970,"Country_26","Leader_123",0,6,0.831146661734355
1934,"Country_4","Leader_95",1,-3,-2.81805470141435
1957,"Country_4","Leader_62",0,-7,-6.24212371995615
1963,"Country_26","Leader_195",0,-5,-3.54495848647204
1983,"Country_1","Leader_136",0,0,5.13691493195785
2000,"Country_25","Leader_188",0,-3,-3.37843167751605
1984,"Country_17","Leader_91",0,-3,-1.28098603258525
1907,"Country_21","Leader_49",0,-6,-5.48305219468659
1954,"Country_36","Leader_89",0,-2,-1.5386478744249
1934,"Country_17","Leader_28",0,-5,-3.05782700948121
1946,"Country_39","Leader_156",0,-10,-4.01535591188904
1937,"Country_57","Leader_118",0,-3,-2.03604486752767
1966,"Country_59","Leader_44",0,3,4.53852696009334
1911,"Country_5","Leader_179",0,-4,-0.863419910649396
1957,"Country_29","Leader_51",0,2,4.3443198125669
1880,"Country_9","Leader_31",0,-10,-9.72318365655315
1963,"Country_31","Leader_77",1,-2,3.58064364258403
1969,"Country_6","Leader_169",0,1,-0.342870217882039
1920,"Country_41","Leader_75",0,0,-0.317352502949255
1963,"Country_31","Leader_185",1,-1,3.71215080314251
1882,"Country_35","Leader_46",0,-5,-0.11774828156326
1993,"Country_9","Leader_51",1,-6,-7.76997561723372
1898,"Country_49","Leader_60",0,-7,-8.21921300125239
1879,"Country_35","Leader_62",1,-1,-4.57423717811184
1975,"Country_59","Leader_117",0,-6,-4.2544584221405
1973,"Country_38","Leader_55",0,-4,-2.7054773962446
1878,"Country_18","Leader_114",0,-3,-1.30765593793481
1909,"Country_17","Leader_22",0,8,8.05647314265567
1884,"Country_13","Leader_152",0,-5,-5.80567853795505
1886,"Country_44","Leader_12",0,0,-2.98109577329614
2002,"Country_47","Leader_115",1,-1,2.58035516822471
1877,"Country_29","Leader_44",0,-6,-2.54681609218103
1900,"Country_42","Leader_148",0,-2,-6.1274996119861
1919,"Country_53","Leader_100",1,6,4.81455764745214
1882,"Country_16","Leader_61",1,1,-1.5878434682695
1957,"Country_33","Leader_123",0,-1,-7.01225321162589
1976,"Country_38","Leader_177",0,-4,-2.74963960643557
1906,"Country_15","Leader_172",0,-10,-8.23763512777576
1876,"Country_27","Leader_66",0,4,2.90789219746076
1993,"Country_22","Leader_165",1,-9,-6.2515423745963
1923,"Country_8","Leader_19",1,2,4.54739549318976
1925,"Country_1","Leader_77",1,8,7.31679251345016
1904,"Country_6","Leader_103",0,-9,-9.04930752862058
1943,"Country_49","Leader_94",0,2,-0.604397755763844
1967,"Country_22","Leader_56",0,-3,-2.79540837912354
1920,"Country_6","Leader_133",0,-9,-6.26994904026314
1886,"Country_5","Leader_199",0,-9,-10
1930,"Country_26","Leader_144",0,-10,-8.55292660652715
1875,"Country_9","Leader_108",0,-4,-0.298198219496259
1968,"Country_31","Leader_102",0,-9,-7.52484027370346
2000,"Country_42","Leader_56",0,2,-0.495262002783171
1926,"Country_3","Leader_26",0,9,6.37216449472338
1881,"Country_41","Leader_173",0,-8,-3.05605436391406
1910,"Country_32","Leader_38",1,2,3.55013188364241
1923,"Country_53","Leader_10",1,2,5.61002740024482
1943,"Country_23","Leader_168",0,0,0.417293571485313
1950,"Country_18","Leader_10",0,-7,-4.36917471052872
1998,"Country_22","Leader_38",0,-2,-3.2753707370444
1921,"Country_58","Leader_51",1,-3,-0.283887993209002
1945,"Country_23","Leader_157",1,1,-0.419000626567718
1991,"Country_57","Leader_54",0,-3,-6.66169651408723
1984,"Country_51","Leader_85",0,3,2.78397889705238
1892,"Country_25","Leader_66",0,-3,3.43755365319431
2000,"Country_38","Leader_192",1,4,5.90274301871918
1941,"Country_30","Leader_147",0,-7,-2.10423983016122
1981,"Country_38","Leader_147",0,-8,-5.32343283072054
1926,"Country_40","Leader_116",1,10,6.47432846505133
1984,"Country_4","Leader_77",0,-4,-3.80672256533085
1892,"Country_54","Leader_33",0,0,-0.819744320435776
1939,"Country_17","Leader_38",1,2,0.493900660653739
1913,"Country_52","Leader_64",0,-4,-1.08749814821085
1889,"Country_6","Leader_165",0,1,-2.79209050709624
1971,"Country_26","Leader_199",0,0,2.59909839633832
1976,"Country_39","Leader_26",0,-3,0.192457458677679
1934,"Country_32","Leader_175",0,-1,-4.39586707720624
1964,"Country_27","Leader_37",0,-2,0.318475993701601
1892,"Country_39","Leader_32",0,9,10
1909,"Country_11","Leader_123",0,-5,-5.67164644582483
1928,"Country_21","Leader_45",0,-7,-3.06528727577579
1947,"Country_33","Leader_40",1,-1,-2.84660553685821
1896,"Country_51","Leader_97",0,0,3.3321342546084
1894,"Country_8","Leader_36",0,1,1.54947415977969
1988,"Country_17","Leader_184",0,-4,1.75574617486949
1903,"Country_60","Leader_50",0,-7,-9.97691218561075
1885,"Country_30","Leader_68",1,5,4.14610634162392
1894,"Country_14","Leader_40",0,-3,-3.98077552837679
1963,"Country_24","Leader_28",1,-6,-5.0917946072289
1887,"Country_7","Leader_184",1,-3,-3.98873622805802
1950,"Country_3","Leader_85",0,-2,-4.101530741605
1941,"Country_33","Leader_54",0,4,4.93616712384935
1966,"Country_24","Leader_55",0,-1,-4.06274214223078
1885,"Country_15","Leader_121",0,2,6.05209279466885
1893,"Country_27","Leader_164",0,-4,-6.75861975594125
1885,"Country_24","Leader_46",0,0,0.303237454185839
1937,"Country_23","Leader_156",0,-3,-0.801032139520558
1974,"Country_57","Leader_95",0,-1,0.960206017277876
1876,"Country_46","Leader_12",0,-6,-5.70523999159914
1929,"Country_27","Leader_11",0,-8,-6.1614940140148
1922,"Country_12","Leader_30",0,8,9.28379245542903
2000,"Country_49","Leader_139",0,2,-2.76939775122928
1903,"Country_8","Leader_17",0,-8,-8.74521913459625
1986,"Country_33","Leader_151",0,-5,-3.03879305705017
1969,"Country_22","Leader_74",0,-7,-6.93434593501097
1981,"Country_34","Leader_54",1,9,10
1986,"Country_5","Leader_132",0,5,6.01976159006451
1957,"Country_58","Leader_70",0,-3,-2.18349974275573
1889,"Country_13","Leader_102",1,1,-3.42327195261004
1934,"Country_19","Leader_169",0,-4,-3.12169932402127
1891,"Country_31","Leader_92",0,-4,-4.14924760459098
1915,"Country_26","Leader_124",0,-5,-4.30703954056179
1899,"Country_20","Leader_120",0,-4,-6.74467768116706
1950,"Country_29","Leader_48",0,7,7.09597413148977
1893,"Country_56","Leader_73",0,-2,-4.7168693209211
1926,"Country_54","Leader_7",0,-1,-1.47866594432723
1885,"Country_9","Leader_179",0,0,1.14427748835406
1962,"Country_16","Leader_152",0,5,1.64945263296086
1957,"Country_21","Leader_82",0,-4,-1.45102578295981
1907,"Country_33","Leader_88",0,-6,-8.74953120495508
1979,"Country_49","Leader_72",0,7,-2.82932403688162
1897,"Country_50","Leader_192",0,-4,-1.80509602764244
1891,"Country_42","Leader_60",0,-5,-1.478380519117
1892,"Country_9","Leader_16",1,-8,-6.95753627077415
1976,"Country_11","Leader_124",0,-8,-4.88762123622518
1963,"Country_1","Leader_47",0,-4,-6.66774957525102
1945,"Country_34","Leader_157",0,2,1.21855417952301
1977,"Country_11","Leader_61",1,4,-2.32455512812185
1954,"Country_25","Leader_62",1,2,5.44354267431557
1895,"Country_49","Leader_153",0,-3,3.17973258462948
1936,"Country_14","Leader_69",0,-1,2.42203678084597
1902,"Country_50","Leader_23",0,-5,-4.08204089924123
2003,"Country_31","Leader_67",0,-5,-4.09999102682776
1964,"Country_14","Leader_70",1,3,-1.8482028694533
1895,"Country_20","Leader_147",0,-7,-3.22884396833532
1994,"Country_40","Leader_11",0,8,5.76779745792467
1976,"Country_24","Leader_140",1,-2,-3.27022877608323
1995,"Country_37","Leader_190",0,0,-4.23607737797493
1968,"Country_41","Leader_72",1,-5,-4.59928748993882
1886,"Country_29","Leader_71",0,-4,-5.74718340505012
1924,"Country_10","Leader_79",0,-8,-7.59109156098351
1907,"Country_49","Leader_99",0,-2,-5.25279996329079
1883,"Country_52","Leader_7",1,1,6.1627684488371
1970,"Country_7","Leader_13",0,0,-0.0480075816239066
2002,"Country_22","Leader_84",0,-5,-0.775164768182842
1905,"Country_44","Leader_140",1,-5,-10
1934,"Country_32","Leader_103",0,-4,-4.55959348998451
1965,"Country_11","Leader_73",0,6,2.77355312522379
1973,"Country_18","Leader_164",0,-7,-9.26877853809774
1992,"Country_12","Leader_34",0,-2,3.03982746267228
1988,"Country_7","Leader_189",0,8,2.15415424069153
1970,"Country_3","Leader_184",0,-2,-0.644829218775925
1924,"Country_59","Leader_113",0,-8,-3.86069114326092
1908,"Country_46","Leader_76",0,-5,-3.46542943474593
1951,"Country_18","Leader_142",1,1,-1.52576643248655
